IP	Port	Protocol
0.0.0.0	68	dhcp
103.109.225.174	443	https
103.153.58.78	443	https
103.166.216.42	443	https
103.208.56.43	443	https
103.216.211.182	443	https
104.108.229.78	443	https
104.17.76.195	443	https
104.18.17.195	443	https
104.18.7.69	443	https
10.79.1.51	56406	unknown
10.79.1.52	4940	unknown
10.79.1.54	39711	unknown
10.79.1.55	61701	unknown
10.79.1.56	27189	unknown
10.64.42.37	383	unknown
10.74.18.23	58412	unknown
10.74.18.24	48884	unknown
10.74.18.26	47041	unknown
10.74.18.30	57475	unknown
10.74.18.39	59005	unknown
10.74.18.41	55365	unknown
10.74.18.43	45519	unknown
10.74.21.23	45261	unknown
10.74.21.60	55400	unknown
10.74.21.63	40200	unknown
10.74.21.63	46653	unknown
10.74.58.23	32996	unknown
10.74.58.30	35745	unknown
10.74.58.39	49727	unknown
10.74.58.40	47812	unknown
10.74.58.42	47534	unknown
10.74.58.43	54171	unknown
10.74.59.178	45260	unknown
10.74.59.180	59657	unknown
10.74.59.186	56508	unknown
10.74.59.193	44856	unknown
10.74.59.199	38711	unknown
10.74.62.126	44645	unknown
10.74.62.127	42295	unknown
10.74.62.131	34380	unknown
10.74.62.135	36322	unknown
10.74.62.140	38112	unknown
10.74.62.146	49597	unknown
10.74.62.147	60483	unknown
10.74.62.148	50084	unknown
10.74.62.151	42361	unknown
10.74.62.82	55249	unknown
10.74.62.83	33639	unknown
10.74.62.88	52861	unknown
10.74.62.91	43489	unknown
10.78.1.103	26807	unknown
10.78.1.103	26811	unknown
10.78.1.103	26813	unknown
10.78.1.103	27135	unknown
10.78.1.103	27139	unknown
10.78.1.103	27143	unknown
10.78.1.103	27147	unknown
10.78.1.103	27399	unknown
10.78.1.103	27401	unknown
10.78.1.103	27403	unknown
10.78.1.103	27729	unknown
10.78.1.103	27733	unknown
10.78.1.103	27737	unknown
10.78.1.103	27741	unknown
10.78.1.103	46894	unknown
10.78.1.103	46896	unknown
10.78.1.103	46898	unknown
10.78.1.103	47486	unknown
10.78.1.103	47488	unknown
10.78.1.103	47490	unknown
10.78.1.103	48070	unknown
10.78.1.103	48072	unknown
10.78.1.103	48076	unknown
10.78.1.103	48662	unknown
10.78.1.103	48666	unknown
10.78.1.103	48668	unknown
10.78.1.103	55063	unknown
10.78.1.103	55065	unknown
10.78.1.103	55069	unknown
10.78.1.103	55653	unknown
10.78.1.103	55657	unknown
10.78.1.103	55659	unknown
10.78.1.103	56301	unknown
10.78.1.103	56303	unknown
10.78.1.103	56307	unknown
10.78.1.103	56893	unknown
10.78.1.103	56895	unknown
10.78.1.103	56897	unknown
10.78.1.182	10216	unknown
10.78.1.182	10232	unknown
10.78.1.182	10240	unknown
10.78.1.182	10245	unknown
10.78.1.182	10247	unknown
10.78.1.182	10294	unknown
10.78.1.182	10352	unknown
10.78.1.182	10525	unknown
10.78.1.182	10527	unknown
10.78.1.182	10560	unknown
10.78.1.182	10608	unknown
10.78.1.182	10812	unknown
10.78.1.182	10813	unknown
10.78.1.182	10822	unknown
10.78.1.182	10843	unknown
10.78.1.182	10849	unknown
10.78.1.182	10851	unknown
10.78.1.182	11030	unknown
10.78.1.182	11056	unknown
10.78.1.182	11058	unknown
10.78.1.182	11201	unknown
10.78.1.182	11203	unknown
10.78.1.182	11231	unknown
10.78.1.182	11290	unknown
10.78.1.182	11292	unknown
10.78.1.182	11311	unknown
10.78.1.182	11312	unknown
10.78.1.182	11533	unknown
10.78.1.182	11535	unknown
10.78.1.182	11606	unknown
10.78.1.182	11610	unknown
10.78.1.182	11775	unknown
10.78.1.182	11777	unknown
10.78.1.182	11856	unknown
10.78.1.182	11898	unknown
10.78.1.182	11900	unknown
10.78.1.182	11926	unknown
10.78.1.182	11928	unknown
10.78.1.182	12081	unknown
10.78.1.182	12083	unknown
10.78.1.182	12224	unknown
10.78.1.182	12228	unknown
10.78.1.182	12361	unknown
10.78.1.182	12363	unknown
10.78.1.182	12530	unknown
10.78.1.182	12532	unknown
10.78.1.182	12623	unknown
10.78.1.182	12691	unknown
10.78.1.182	12842	unknown
10.78.1.182	12844	unknown
10.78.1.182	13000	unknown
10.78.1.182	13146	unknown
10.78.1.182	13148	unknown
10.78.1.182	13167	unknown
10.78.1.182	13215	unknown
10.78.1.182	13509	unknown
10.78.1.182	13609	unknown
10.78.1.182	13611	unknown
10.78.1.182	13713	unknown
10.78.1.182	13765	unknown
10.78.1.182	14045	unknown
10.78.1.182	14047	unknown
10.78.1.182	14101	unknown
10.78.1.182	14373	unknown
10.78.1.182	14405	unknown
10.78.1.182	14611	unknown
10.78.1.182	14619	unknown
10.78.1.182	14841	unknown
10.78.1.182	14843	unknown
10.78.1.182	15081	unknown
10.78.1.182	15095	unknown
10.78.1.182	15397	unknown
10.78.1.182	15399	unknown
10.78.1.182	15711	unknown
10.78.1.182	15713	unknown
10.78.1.182	15719	unknown
10.78.1.182	15767	unknown
10.78.1.182	15769	unknown
10.78.1.182	16029	unknown
10.78.1.182	16031	unknown
10.78.1.182	16333	unknown
10.78.1.182	16335	unknown
10.78.1.182	16651	unknown
10.78.1.182	16653	unknown
10.78.1.182	16783	unknown
10.78.1.182	16957	unknown
10.78.1.182	16959	unknown
10.78.1.182	25152	unknown
10.78.1.182	25184	unknown
10.78.1.182	25550	unknown
10.78.1.182	25662	unknown
10.78.1.182	25664	unknown
10.78.1.182	27830	unknown
10.78.1.182	27940	unknown
10.78.1.182	27942	unknown
10.78.1.182	28386	unknown
10.78.1.182	28408	unknown
10.78.1.182	30062	unknown
10.78.1.182	30104	unknown
10.78.1.182	30106	unknown
10.78.1.182	31132	unknown
10.78.1.182	40612	unknown
10.78.1.182	40614	unknown
10.78.1.182	40896	unknown
10.78.1.182	40898	unknown
10.78.1.182	41154	unknown
10.78.1.182	41190	unknown
10.78.1.182	41208	unknown
