IP	Port	Protocol
103.106.136.57	46561	unknown
103.120.209.137	37906	unknown
103.120.209.137	50180	unknown
103.120.209.242	18570	unknown
103.120.209.242	1953	unknown
103.120.209.242	20321	unknown
103.120.209.242	42080	unknown
103.120.209.242	42358	unknown
103.120.209.242	7681	unknown
103.124.204.6	14433	unknown
103.129.228.135	31457	unknown
103.129.228.135	44897	unknown
103.162.47.201	30977	unknown
103.163.196.3	54209	unknown
103.167.102.200	1683	unknown
103.167.122.93	23721	unknown
103.167.130.191	26113	unknown
103.167.130.191	65121	unknown
103.167.75.148	62177	unknown
103.171.246.74	52065	unknown
103.175.135.100	54913	unknown
103.177.82.48	29665	unknown
103.177.82.48	35584	unknown
103.177.82.48	44512	unknown
103.177.82.48	53729	unknown
103.177.82.48	60687	unknown
103.177.82.48	61024	unknown
103.177.82.48	61921	unknown
103.178.143.13	45189	unknown
103.178.253.129	29635	unknown
103.178.253.129	8785	unknown
103.178.253.72	29025	unknown
103.178.253.72	63905	unknown
103.179.197.107	29537	unknown
103.179.197.107	38432	unknown
103.179.197.107	59328	unknown
103.190.190.154	35809	unknown
103.196.77.223	31585	unknown
103.203.147.195	18396	unknown
103.203.147.195	23427	unknown
103.203.147.195	35521	unknown
103.203.147.195	5230	unknown
103.203.147.195	58752	unknown
103.203.147.195	63168	unknown
103.203.147.195	7873	unknown
103.210.66.29	36193	unknown
103.211.112.35	62817	unknown
103.221.250.65	11329	unknown
103.221.250.65	58273	unknown
103.225.117.17	36521	unknown
103.225.132.169	45313	unknown
103.225.132.175	39969	unknown
103.230.150.234	42305	unknown
103.240.96.49	14561	unknown
103.249.39.187	36929	unknown
103.25.169.93	14749	unknown
103.251.80.225	37605	unknown
103.38.39.115	51841	unknown
103.38.39.122	28663	unknown
103.38.39.122	50912	unknown
103.38.68.149	32641	unknown
103.49.241.247	13825	unknown
103.52.247.22	22567	unknown
103.58.155.44	28603	unknown
103.66.213.4	3809	unknown
103.72.159.224	14721	unknown
103.80.113.120	62945	unknown
103.82.210.232	33249	unknown
103.88.83.34	62785	unknown
103.93.102.82	59617	unknown
104.28.221.91	16447	unknown
104.77.173.110	36705	unknown
104.77.173.110	5664	unknown
104.77.173.116	20000	unknown
104.77.173.116	30609	unknown
104.77.173.116	62945	unknown
104.77.173.118	13281	unknown
104.77.173.118	17633	unknown
104.77.173.118	19620	unknown
104.77.173.118	23553	unknown
104.77.173.118	29226	unknown
104.77.173.141	14305	unknown
104.77.173.141	15873	unknown
104.77.173.141	16640	unknown
104.77.173.141	31329	unknown
104.77.173.141	32864	unknown
104.77.173.141	39713	unknown
104.77.173.141	42113	unknown
104.77.173.141	50049	unknown
104.77.173.141	52578	unknown
104.77.173.52	11948	unknown
104.77.173.52	21249	unknown
104.77.173.52	53524	unknown
104.77.173.52	62472	unknown
104.77.173.55	2826	unknown
104.77.173.55	33248	unknown
104.77.173.55	40611	unknown
104.77.173.55	4576	unknown
104.77.173.55	63132	unknown
104.77.173.70	18134	unknown
104.77.173.70	20928	unknown
104.77.173.70	27353	unknown
104.77.173.70	33505	unknown
104.77.173.70	35681	unknown
104.77.173.70	37472	unknown
104.77.173.70	37568	unknown
104.77.173.70	57824	unknown
104.77.173.70	65473	unknown
104.77.173.76	31275	unknown
104.77.173.76	63584	unknown
104.77.173.76	65057	unknown
104.77.173.77	10465	unknown
104.77.173.77	14240	unknown
104.77.173.77	15329	unknown
104.77.173.77	22368	unknown
104.77.173.77	33217	unknown
104.77.173.77	35000	unknown
104.77.173.77	35329	unknown
104.77.173.77	49409	unknown
104.77.173.77	53089	unknown
104.77.173.77	54592	unknown
104.77.173.77	5505	unknown
104.77.173.77	8769	unknown
104.77.173.86	35585	unknown
104.77.173.86	49440	unknown
104.77.173.86	51328	unknown
104.90.5.100	16993	unknown
104.90.5.100	22305	unknown
104.90.5.100	29920	unknown
104.90.5.100	31374	unknown
104.90.5.100	32097	unknown
104.90.5.100	43681	unknown
104.90.5.100	51651	unknown
104.90.5.100	52590	unknown
104.90.5.100	58561	unknown
104.90.5.101	22880	unknown
104.90.5.101	26974	unknown
104.90.5.101	4960	unknown
104.90.5.102	17889	unknown
104.90.5.102	2016	unknown
104.90.5.102	22336	unknown
104.90.5.102	40801	unknown
104.90.5.102	47937	unknown
104.90.5.102	57824	unknown
104.90.5.102	61941	unknown
104.90.5.103	51168	unknown
104.90.5.108	12929	unknown
104.90.5.108	2977	unknown
104.90.5.108	31713	unknown
104.90.5.108	4787	unknown
104.90.5.108	55905	unknown
104.90.5.109	10432	unknown
104.90.5.109	1121	unknown
104.90.5.109	11361	unknown
104.90.5.109	12416	unknown
104.90.5.109	17057	unknown
104.90.5.109	17755	unknown
104.90.5.109	26977	unknown
104.90.5.109	31418	unknown
104.90.5.109	34416	unknown
104.90.5.109	34912	unknown
104.90.5.109	42550	unknown
104.90.5.109	43872	unknown
104.90.5.109	45537	unknown
104.90.5.109	47968	unknown
104.90.5.109	60425	unknown
104.90.5.109	60918	unknown
104.90.5.109	61668	unknown
104.90.5.109	61921	unknown
104.90.5.109	64736	unknown
104.90.5.109	8896	unknown
104.90.5.111	13285	unknown
104.90.5.111	23777	unknown
104.90.5.111	51777	unknown
104.90.5.116	23681	unknown
104.90.5.117	17216	unknown
104.90.5.117	31169	unknown
104.90.5.117	43328	unknown
104.90.5.117	54048	unknown
104.90.5.117	62432	unknown
104.90.5.117	7104	unknown
104.90.5.12	13685	unknown
104.90.5.13	40929	unknown
104.90.5.13	54625	unknown
104.90.5.13	5985	unknown
104.90.5.14	59328	unknown
104.90.5.20	12665	unknown
104.90.5.21	19488	unknown
104.90.5.21	20704	unknown
104.90.5.21	26081	unknown
104.90.5.21	28801	unknown
104.90.5.21	3328	unknown
104.90.5.21	38784	unknown
104.90.5.21	39905	unknown
104.90.5.21	4160	unknown
104.90.5.21	47712	unknown
104.90.5.21	48448	unknown
104.90.5.21	49888	unknown
104.90.5.21	5115	unknown
104.90.5.21	52000	unknown
104.90.5.21	55975	unknown
104.90.5.21	65345	unknown
104.90.5.22	14784	unknown
104.90.5.22	17249	unknown
104.90.5.22	17539	unknown
104.90.5.22	17889	unknown
104.90.5.22	18944	unknown
104.90.5.22	19552	unknown
104.90.5.22	21612	unknown
104.90.5.22	2432	unknown
104.90.5.22	27721	unknown
104.90.5.22	30684	unknown
104.90.5.22	31151	unknown
104.90.5.22	32129	unknown
104.90.5.22	35073	unknown
104.90.5.22	35937	unknown
104.90.5.22	36929	unknown
104.90.5.22	39488	unknown
104.90.5.22	42945	unknown
104.90.5.22	44640	unknown
104.90.5.22	46272	unknown
104.90.5.22	46561	unknown
104.90.5.22	5735	unknown
104.90.5.22	59144	unknown
104.90.5.22	59585	unknown
104.90.5.22	60160	unknown
104.90.5.22	63025	unknown
104.90.5.22	9472	unknown
104.90.5.22	9824	unknown
104.90.5.23	10752	unknown
104.90.5.23	21729	unknown
104.90.5.23	23361	unknown
104.90.5.23	23905	unknown
104.90.5.23	32128	unknown
104.90.5.23	36896	unknown
104.90.5.23	47457	unknown
104.90.5.23	48576	unknown
104.90.5.23	58955	unknown
104.90.5.28	1820	unknown
104.90.5.28	23909	unknown
104.90.5.28	40289	unknown
104.90.5.28	48545	unknown
104.90.5.28	60001	unknown
104.90.5.29	62366	unknown
104.90.5.30	18208	unknown
104.90.5.30	19074	unknown
104.90.5.30	20256	unknown
104.90.5.30	21888	unknown
104.90.5.30	24128	unknown
104.90.5.30	25184	unknown
104.90.5.30	29313	unknown
104.90.5.30	32064	unknown
104.90.5.30	33382	unknown
104.90.5.30	3681	unknown
104.90.5.30	3937	unknown
104.90.5.30	41948	unknown
104.90.5.30	46433	unknown
104.90.5.30	50112	unknown
104.90.5.30	53952	unknown
104.90.5.30	58145	unknown
104.90.5.30	63712	unknown
104.90.5.30	64352	unknown
104.90.5.31	44012	unknown
104.90.5.36	47429	unknown
104.90.5.36	65376	unknown
104.90.5.37	55104	unknown
104.90.5.38	36257	unknown
104.90.5.38	43121	unknown
104.90.5.38	57729	unknown
104.90.5.38	6784	unknown
104.90.5.4	10204	unknown
104.90.5.4	1651	unknown
104.90.5.4	31343	unknown
104.90.5.4	35297	unknown
104.90.5.4	36341	unknown
104.90.5.4	40801	unknown
104.90.5.44	10136	unknown
104.90.5.44	13152	unknown
104.90.5.44	15201	unknown
104.90.5.44	3393	unknown
104.90.5.45	30689	unknown
104.90.5.45	55073	unknown
104.90.5.4	56416	unknown
104.90.5.4	57280	unknown
104.90.5.4	59233	unknown
104.90.5.47	45707	unknown
104.90.5.5	12736	unknown
104.90.5.52	15872	unknown
104.90.5.5	21665	unknown
104.90.5.52	19265	unknown
104.90.5.5	2240	unknown
104.90.5.5	27009	unknown
104.90.5.5	29920	unknown
104.90.5.53	10977	unknown
104.90.5.5	32032	unknown
104.90.5.53	9217	unknown
104.90.5.5	40033	unknown
104.90.5.5	43009	unknown
104.90.5.55	11585	unknown
104.90.5.55	13568	unknown
104.90.5.55	17920	unknown
104.90.5.55	18400	unknown
104.90.5.55	2177	unknown
104.90.5.55	32639	unknown
104.90.5.55	32992	unknown
104.90.5.55	41697	unknown
104.90.5.55	44896	unknown
104.90.5.55	51425	unknown
104.90.5.55	52481	unknown
104.90.5.55	55264	unknown
104.90.5.55	57409	unknown
104.90.5.55	7105	unknown
104.90.5.60	17057	unknown
104.90.5.60	30785	unknown
104.90.5.60	33913	unknown
104.90.5.60	40192	unknown
104.90.5.60	5056	unknown
104.90.5.60	58080	unknown
104.90.5.60	58721	unknown
104.90.5.61	27713	unknown
104.90.5.61	47214	unknown
104.90.5.61	6613	unknown
104.90.5.62	16608	unknown
104.90.5.62	19937	unknown
104.90.5.62	22464	unknown
104.90.5.62	26881	unknown
104.90.5.62	38497	unknown
104.90.5.62	41674	unknown
104.90.5.62	43457	unknown
104.90.5.62	44384	unknown
104.90.5.62	5441	unknown
104.90.5.62	62305	unknown
104.90.5.62	62753	unknown
104.90.5.62	6624	unknown
104.90.5.62	8801	unknown
104.90.5.63	25440	unknown
104.90.5.6	32992	unknown
104.90.5.63	59265	unknown
104.90.5.69	21216	unknown
104.90.5.69	24866	unknown
104.90.5.69	41473	unknown
104.90.5.69	51169	unknown
104.90.5.69	64321	unknown
104.90.5.70	2912	unknown
104.90.5.70	49281	unknown
104.90.5.70	49633	unknown
104.90.5.70	50017	unknown
104.90.5.70	60769	unknown
104.90.5.70	8225	unknown
104.90.5.7	11616	unknown
104.90.5.71	2841	unknown
104.90.5.71	32544	unknown
104.90.5.7	13664	unknown
104.90.5.71	48737	unknown
104.90.5.71	54689	unknown
104.90.5.71	60513	unknown
104.90.5.71	63201	unknown
104.90.5.71	9602	unknown
104.90.5.7	28064	unknown
104.90.5.7	3896	unknown
104.90.5.7	43305	unknown
104.90.5.7	44928	unknown
104.90.5.7	45984	unknown
104.90.5.7	51466	unknown
104.90.5.7	56161	unknown
104.90.5.7	57440	unknown
104.90.5.7	57903	unknown
104.90.5.76	1664	unknown
104.90.5.76	27349	unknown
104.90.5.76	29376	unknown
104.90.5.76	39361	unknown
104.90.5.76	42336	unknown
104.90.5.76	42688	unknown
104.90.5.76	46698	unknown
104.90.5.76	47297	unknown
104.90.5.76	58982	unknown
104.90.5.76	59616	unknown
104.90.5.76	65505	unknown
104.90.5.77	10064	unknown
104.90.5.77	10657	unknown
104.90.5.77	13537	unknown
104.90.5.77	14578	unknown
104.90.5.77	20289	unknown
104.90.5.77	24161	unknown
104.90.5.77	24416	unknown
104.90.5.77	26549	unknown
104.90.5.77	28000	unknown
