Count	Protocol	Cipher Suite Algorithm
6751	TLS 1.2	TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256
5478	TLS 1.2	TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
4929	TLS 1.2	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384
4466	TLS 1.2	TLS_RSA_WITH_AES_256_GCM_SHA384
2463	TLS 1.2	TLS_RSA_WITH_AES_128_CBC_SHA256
1425	TLS 1.2	TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
386	TLS 1.2	TLS_RSA_WITH_AES_256_CBC_SHA256
94	TLS 1.2	TLS_DHE_RSA_WITH_AES_256_GCM_SHA384
42	TLS 1.3	TLS_AES_256_GCM_SHA384
32	TLS 1.2	TLS_RSA_WITH_AES_128_GCM_SHA256
20	TLS 1.3	TLS_AES_128_GCM_SHA256
6	TLS 1.2	TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA
6	TLS 1.2	TLS_ECDH_anon_WITH_AES_256_CBC_SHA
3	TLS 1.2	TLS_RSA_WITH_AES_256_CBC_SHA
